05:55:23:| Launching Telegram Scraper...

05:57:20:| Telegram Robot: /last_week!

07:18:52:| Launching Telegram Scraper...

07:25:27:| Launching Telegram Scraper...

07:40:52:| Launching Telegram Scraper...

07:41:19:| Launching Telegram Scraper...

07:43:22:| new chat ID:1917580758Group HelpDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

07:52:05:| Launching Telegram Scraper...

07:52:12:| Telegram Robot: .

07:54:08:| new chat ID:1917580758Group HelpDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

07:55:10:| Launching Telegram Scraper...

07:56:46:| Launching Telegram Scraper...

07:58:09:| Launching Telegram Scraper...

07:58:13:| Launching Telegram Scraper...

07:59:18:| Launching Telegram Scraper...

07:59:21:| Telegram Robot: .

07:59:25:| Telegram Robot: .

08:00:50:| Telegram Robot: .

08:00:53:| Telegram Robot: .

08:03:20:| new chat ID:1917580758Group HelpDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

08:04:47:| Telegram Robot: /last_week!

08:06:06:| Launching Telegram Scraper...

08:07:08:| Telegram Robot: /last_week!

08:08:09:| Telegram Robot: /last_week!

08:09:10:| Telegram Robot: /last_week!

08:09:33:| Telegram Robot: /stop

08:15:28:| Launching Telegram Scraper...

08:15:34:| Telegram Robot: .

08:16:29:| Telegram Robot: /last_week!

