00:59:00:| new chat ID:1396813143⚡️ESTR VIP BY GodLeak ⚡️Didnt match: anything

01:09:50:| new chat ID:1396813143⚡️ESTR VIP BY GodLeak ⚡️Didnt match: anything

01:10:03:| Launching Telegram Scraper...

01:12:02:| Launching Telegram Scraper...

01:12:18:| Telegram Robot: /true_id

03:48:21:| new chat ID:1688505449⚡️Genix VIP BY GodLeak ⚡️Didnt match: anything

03:48:41:| Telegram Robot: /true_id

04:42:33:| new chat ID:1396813143⚡️ESTR VIP BY GodLeak ⚡️Didnt match: anything

05:33:38:| Telegram Robot: /true_id

06:08:28:| Launching Telegram Scraper...

06:08:41:| Telegram Robot: /known_channels

06:11:55:| Launching Telegram Scraper...

06:11:57:| Telegram Robot: /known_channels

06:12:14:| Launching Telegram Scraper...

06:12:19:| Telegram Robot: /known_channels

06:13:13:| Launching Telegram Scraper...

06:13:16:| Telegram Robot: /known_channels

06:13:29:| Launching Telegram Scraper...

06:13:30:| Telegram Robot: /known_channels

06:13:44:| Launching Telegram Scraper...

06:13:52:| Telegram Robot: /known_channels

06:15:41:| Launching Telegram Scraper...

06:15:44:| Telegram Robot: /known_channels

06:17:21:| Launching Telegram Scraper...

06:17:26:| Telegram Robot: /known_channels

06:19:56:| Launching Telegram Scraper...

06:59:43:| Launching Telegram Scraper...

06:59:47:| Telegram Robot: /ggshot

07:10:57:| Launching Telegram Scraper...

07:11:02:| Telegram Robot: /ggshot

07:11:22:| Telegram Robot: .

07:16:11:| Telegram Robot: /ggshot

07:22:02:| Launching Telegram Scraper...

07:22:22:| Telegram Robot: /ggshot

