08:25:09:| Launching Telegram Scraper...

08:26:55:| Launching Telegram Scraper...

08:27:14:| Telegram Robot: /bk

08:28:39:| Launching Telegram Scraper...

08:32:55:| Telegram Robot: /bk

08:33:36:| Launching Telegram Scraper...

08:33:37:| Telegram Robot: /bk

08:34:01:| new chat ID:1593001808⚡️pentagon English BY GodLeak ⚡️Didnt match: anything

08:36:22:| Telegram Robot: /true_id

08:36:43:| Launching Telegram Scraper...

08:36:45:| Telegram Robot: /bk

08:39:47:| new chat ID:1620874899⚡️Hamam King VIP BY GodLeak ⚡️Didnt match: anything

08:42:15:| Launching Telegram Scraper...

08:42:18:| Telegram Robot: /bk

08:42:58:| Launching Telegram Scraper...

08:43:00:| Telegram Robot: /bk

08:46:20:| Launching Telegram Scraper...

08:46:23:| Telegram Robot: /bk

08:48:24:| Launching Telegram Scraper...

08:48:27:| Telegram Robot: /bk

