05:01:07:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

05:28:42:| Launching Telegram Scraper...

05:38:36:| Launching Telegram Scraper...

05:38:46:| Telegram Robot: /back_test

05:39:49:| Launching Telegram Scraper...

05:39:56:| Telegram Robot: /back_test

05:40:12:| Launching Telegram Scraper...

05:40:15:| Telegram Robot: /back_test

05:53:39:| Launching Telegram Scraper...

05:53:43:| Telegram Robot: /back_test

05:56:08:| Launching Telegram Scraper...

05:56:11:| Telegram Robot: /back_test

05:57:06:| Launching Telegram Scraper...

05:57:10:| Telegram Robot: /back_test

06:25:06:| Launching Telegram Scraper...

06:25:20:| Telegram Robot: /back_test

06:32:09:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:36:07:| Launching Telegram Scraper...

06:36:11:| Telegram Robot: /back_test

06:37:18:| Launching Telegram Scraper...

06:37:24:| Telegram Robot: /back_test

06:38:51:| Launching Telegram Scraper...

06:38:53:| Telegram Robot: /back_test

07:31:54:| Launching Telegram Scraper...

07:31:59:| Telegram Robot: /back_test

07:32:39:| Launching Telegram Scraper...

07:32:42:| Telegram Robot: /back_test

07:33:08:| Launching Telegram Scraper...

07:33:37:| Launching Telegram Scraper...

07:33:40:| Telegram Robot: /back_test

07:33:59:| Launching Telegram Scraper...

07:34:04:| Telegram Robot: /back_test

07:36:34:| Launching Telegram Scraper...

07:36:37:| Telegram Robot: /back_test

07:37:47:| Launching Telegram Scraper...

07:37:50:| Telegram Robot: /back_test

07:39:55:| Launching Telegram Scraper...

07:39:58:| Telegram Robot: /back_test

07:41:19:| Launching Telegram Scraper...

07:41:22:| Telegram Robot: /back_test

07:41:58:| Launching Telegram Scraper...

07:42:01:| Telegram Robot: /back_test

07:50:10:| Launching Telegram Scraper...

07:50:13:| Telegram Robot: /back_test

07:56:02:| Launching Telegram Scraper...

07:56:08:| Telegram Robot: /back_test

08:02:15:| Launching Telegram Scraper...

08:02:27:| Launching Telegram Scraper...

08:02:31:| Telegram Robot: /back_test

08:04:52:| Launching Telegram Scraper...

08:04:57:| Telegram Robot: /back_test

08:12:14:| Launching Telegram Scraper...

08:12:18:| Telegram Robot: /back_test

08:13:44:| Launching Telegram Scraper...

08:13:49:| Telegram Robot: /back_test

11:00:49:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

13:18:15:| Launching Telegram Scraper...

13:18:19:| Telegram Robot: /back_test

13:19:08:| Launching Telegram Scraper...

13:19:11:| Telegram Robot: /back_test

13:54:53:| Launching Telegram Scraper...

13:55:25:| Launching Telegram Scraper...

13:55:31:| Telegram Robot: /back_test

13:56:17:| Launching Telegram Scraper...

13:56:20:| Telegram Robot: /back_test

13:58:32:| Launching Telegram Scraper...

13:58:36:| Telegram Robot: /back_test

14:00:34:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

14:01:12:| Launching Telegram Scraper...

14:01:15:| Telegram Robot: /back_test

14:02:30:| Launching Telegram Scraper...

14:02:35:| Telegram Robot: /back_test

14:04:23:| Launching Telegram Scraper...

14:04:26:| Telegram Robot: /back_test

14:07:25:| Launching Telegram Scraper...

14:07:29:| Telegram Robot: /back_test

14:09:00:| Launching Telegram Scraper...

14:09:16:| Launching Telegram Scraper...

14:12:28:| Launching Telegram Scraper...

14:12:33:| Telegram Robot: /back_test

