12:14:34:| Launching Telegram Scraper...

12:22:20:| Launching Telegram Scraper...

12:22:28:| Telegram Robot: /back_test

12:24:01:| Launching Telegram Scraper...

12:24:28:| Telegram Robot: /back_test

12:35:56:| Launching Telegram Scraper...

12:36:12:| Launching Telegram Scraper...

12:36:17:| Telegram Robot: /back_test

12:38:01:| Launching Telegram Scraper...

12:38:16:| Telegram Robot: /back_test

12:53:41:| Launching Telegram Scraper...

12:54:10:| Telegram Robot: /back_test

12:56:26:| Launching Telegram Scraper...

12:56:50:| Telegram Robot: /back_test

12:57:50:| Launching Telegram Scraper...

12:58:01:| Telegram Robot: /back_test

12:59:41:| Launching Telegram Scraper...

12:59:44:| Telegram Robot: /back_test

13:02:45:| Launching Telegram Scraper...

13:02:49:| Telegram Robot: /back_test

13:04:17:| Launching Telegram Scraper...

13:04:21:| Telegram Robot: /back_test

13:06:00:| Launching Telegram Scraper...

13:06:05:| Telegram Robot: /back_test

13:12:14:| Launching Telegram Scraper...

13:12:35:| Launching Telegram Scraper...

13:12:40:| Telegram Robot: /back_test

13:15:48:| Launching Telegram Scraper...

13:15:52:| Telegram Robot: /back_test

13:17:58:| Launching Telegram Scraper...

13:18:01:| Telegram Robot: /back_test

13:26:43:| Telegram Robot: /last_week!

13:32:25:| Launching Telegram Scraper...

13:32:38:| Telegram Robot: /back_test

13:35:35:| Launching Telegram Scraper...

13:35:40:| Telegram Robot: /back_test

