01:03:42:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:21:27:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:21:29:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

04:53:04:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

06:22:47:| new chat ID:1752024450⚡️Predictum BY GodLeak ⚡️Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

10:47:01:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

11:29:07:| new chat ID:1224826225Predictūm Indicator | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

11:29:08:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

12:24:07:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

12:41:57:| Launching Telegram Scraper...

12:51:28:| Launching Telegram Scraper...

13:00:55:| Launching Telegram Scraper...

13:01:04:| Telegram Robot: /deep_back_test

13:01:49:| Launching Telegram Scraper...

13:01:53:| Telegram Robot: /deep_back_test

14:07:47:| Launching Telegram Scraper...

14:08:20:| Launching Telegram Scraper...

14:08:32:| Telegram Robot: /back_test

14:10:26:| Launching Telegram Scraper...

14:10:30:| Telegram Robot: /back_test

14:20:52:| Launching Telegram Scraper...

14:21:58:| Launching Telegram Scraper...

14:22:06:| Telegram Robot: /back_test

14:25:27:| new chat ID:1456699005crypto leak by GodLeakDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

14:31:41:| Launching Telegram Scraper...

14:31:45:| Telegram Robot: /back_test

14:33:58:| Launching Telegram Scraper...

14:34:03:| Telegram Robot: /back_test

14:36:33:| Launching Telegram Scraper...

14:36:40:| Telegram Robot: /back_test

14:39:57:| Launching Telegram Scraper...

14:40:05:| Telegram Robot: /back_test

14:41:36:| Launching Telegram Scraper...

14:41:38:| Telegram Robot: /back_test

14:47:44:| Launching Telegram Scraper...

14:47:48:| Telegram Robot: /back_test

14:49:48:| Launching Telegram Scraper...

14:49:51:| Telegram Robot: /back_test

14:53:45:| Telegram Robot: /back_test

14:56:49:| Launching Telegram Scraper...

14:57:16:| Telegram Robot: /back_test

15:00:00:| Launching Telegram Scraper...

15:00:04:| Telegram Robot: /back_test

15:01:50:| Launching Telegram Scraper...

15:01:54:| Telegram Robot: /back_test

15:03:45:| Launching Telegram Scraper...

15:03:47:| Telegram Robot: /back_test

15:08:31:| Launching Telegram Scraper...

15:08:36:| Telegram Robot: /back_test

15:09:51:| Launching Telegram Scraper...

15:09:55:| Telegram Robot: /back_test

15:12:47:| Launching Telegram Scraper...

15:12:51:| Telegram Robot: /back_test

15:13:38:| Launching Telegram Scraper...

15:13:45:| Telegram Robot: /back_test

15:24:41:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

15:30:41:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

16:45:08:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:14:43:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:14:45:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:22:43:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:22:46:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:50:43:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:50:46:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:50:47:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:50:50:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:50:52:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:52:43:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:52:44:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:52:46:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:52:47:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:53:44:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:56:43:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

20:42:53:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

22:10:10:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

