08:42:39:| Launching Telegram Scraper...

08:42:43:| new chat ID:2011337092Telebagger ChannelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

08:44:00:| Launching Telegram Scraper...

08:44:04:| Telegram Robot: .

08:44:06:| Telegram Robot: .

08:44:11:| Telegram Robot: .

08:44:15:| Telegram Robot: hi

09:05:03:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

09:05:05:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

09:09:03:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

09:40:03:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

09:40:05:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

11:09:01:| new chat ID:1689402801HadiDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

11:09:09:| new chat ID:1689402801HadiDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

12:14:03:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

12:54:19:| new chat ID:1689402801IyadDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

13:11:03:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

13:25:46:| new chat ID:1689402801Drizz6y/Iccey1kDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

13:36:16:| new chat ID:1689402801HadiDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

13:56:36:| new chat ID:1689402801Drizz6y/Iccey1kDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

13:57:15:| new chat ID:1689402801Drizz6y/Iccey1kDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

14:43:36:| new chat ID:1689402801Dj AjanDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

15:18:05:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

16:32:33:| new chat ID:1355910014AscetusDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:19:04:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:35:58:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

19:04:12:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

19:19:04:| new chat ID:1565244368Israel 1Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

19:23:04:| new chat ID:1565244368Israel 1Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

19:38:26:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

19:59:09:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

21:20:04:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

21:20:06:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

21:29:12:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

21:31:50:| new chat ID:1689402801Drizz6y/Iccey1kDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

21:31:52:| new chat ID:1565244368Charlie InglisDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

22:14:05:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

23:39:06:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

23:39:08:| new chat ID:1565244368BobbyBuyBotDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

